Sample_Pair,Algorithm,Hamming,Clustered,Unclustered,Total,Ratio,Time_sec,Memory_MB,N_Clusters
NA12877_NA12878,DBSCAN,No,607,1903,2510,0.24183266932270917,0.03274893760681152,0.0,269
NA12877_NA12878,DBSCAN,Yes,607,1903,2510,0.24183266932270917,0.049240827560424805,0.0,522
NA12877_NA12878,OPTICS,No,105,2405,2510,0.04183266932270916,0.2596414089202881,0.25,45
NA12877_NA12878,OPTICS,Yes,105,2405,2510,0.04183266932270916,0.2577357292175293,0.0,88
NA12877_NA12878,INTERVAL_TREE,No,2510,0,2510,1.0,0.2653346061706543,1.703125,1380
NA12877_NA12878,INTERVAL_TREE,Yes,2510,0,2510,1.0,0.3483426570892334,0.0,1684
NA12877_NA12878,OVERLAP,No,2510,0,2510,1.0,2.5776522159576416,0.0,1426
NA12877_NA12878,OVERLAP,Yes,2510,0,2510,1.0,2.667512893676758,0.30859375,1706
NA12877_NA12879,DBSCAN,No,621,1924,2545,0.24400785854616897,0.01579594612121582,0.0,277
NA12877_NA12879,DBSCAN,Yes,621,1924,2545,0.24400785854616897,0.05306529998779297,0.0,532
NA12877_NA12879,OPTICS,No,91,2454,2545,0.03575638506876228,0.25907278060913086,0.0,39
NA12877_NA12879,OPTICS,Yes,91,2454,2545,0.03575638506876228,0.26247119903564453,0.0,78
NA12877_NA12879,INTERVAL_TREE,No,2545,0,2545,1.0,0.259035587310791,0.00390625,1270
NA12877_NA12879,INTERVAL_TREE,Yes,2545,0,2545,1.0,0.3427095413208008,0.0,1490
NA12877_NA12879,OVERLAP,No,2545,0,2545,1.0,2.6601343154907227,0.0,1299
NA12877_NA12879,OVERLAP,Yes,2545,0,2545,1.0,2.7621700763702393,0.09765625,1505
NA12877_NA12881,DBSCAN,No,609,1908,2517,0.24195470798569726,0.01599717140197754,0.0,269
NA12877_NA12881,DBSCAN,Yes,609,1908,2517,0.24195470798569726,0.054529428482055664,0.0,529
NA12877_NA12881,OPTICS,No,102,2415,2517,0.04052443384982122,0.25620031356811523,0.0,44
NA12877_NA12881,OPTICS,Yes,102,2415,2517,0.04052443384982122,0.2669646739959717,0.0,89
NA12877_NA12881,INTERVAL_TREE,No,2517,0,2517,1.0,0.2505326271057129,0.0,1267
NA12877_NA12881,INTERVAL_TREE,Yes,2517,0,2517,1.0,0.34336233139038086,0.0,1496
NA12877_NA12881,OVERLAP,No,2517,0,2517,1.0,2.6176483631134033,0.0,1293
NA12877_NA12881,OVERLAP,Yes,2517,0,2517,1.0,2.71168851852417,0.0,1510
NA12877_NA12882,DBSCAN,No,639,1916,2555,0.25009784735812135,0.01643824577331543,0.0,284
NA12877_NA12882,DBSCAN,Yes,639,1916,2555,0.25009784735812135,0.05308961868286133,0.0,546
NA12877_NA12882,OPTICS,No,98,2457,2555,0.038356164383561646,0.26282405853271484,0.01171875,41
NA12877_NA12882,OPTICS,Yes,98,2457,2555,0.038356164383561646,0.2690155506134033,0.0,85
NA12877_NA12882,INTERVAL_TREE,No,2555,0,2555,1.0,0.25460124015808105,0.5,1257
NA12877_NA12882,INTERVAL_TREE,Yes,2555,0,2555,1.0,0.344280481338501,0.0,1477
NA12877_NA12882,OVERLAP,No,2555,0,2555,1.0,2.684715986251831,0.0,1288
NA12877_NA12882,OVERLAP,Yes,2555,0,2555,1.0,2.781191825866699,0.015625,1496
NA12877_NA12885,DBSCAN,No,609,1904,2513,0.24233983286908078,0.015793561935424805,0.0,271
NA12877_NA12885,DBSCAN,Yes,609,1904,2513,0.24233983286908078,0.0512850284576416,0.0,525
NA12877_NA12885,OPTICS,No,94,2419,2513,0.03740549144448866,0.25490260124206543,0.0,40
NA12877_NA12885,OPTICS,Yes,94,2419,2513,0.03740549144448866,0.26249027252197266,0.0,81
NA12877_NA12885,INTERVAL_TREE,No,2513,0,2513,1.0,0.24979519844055176,0.03125,1256
NA12877_NA12885,INTERVAL_TREE,Yes,2513,0,2513,1.0,0.33778953552246094,0.0,1474
NA12877_NA12885,OVERLAP,No,2513,0,2513,1.0,2.5936777591705322,0.0,1282
NA12877_NA12885,OVERLAP,Yes,2513,0,2513,1.0,2.6952247619628906,0.0,1490
NA12877_NA12886,DBSCAN,No,635,1894,2529,0.25108738631870303,0.01627039909362793,0.0,283
NA12877_NA12886,DBSCAN,Yes,635,1894,2529,0.25108738631870303,0.05184221267700195,0.0,551
NA12877_NA12886,OPTICS,No,105,2424,2529,0.04151838671411625,0.26534438133239746,0.0,46
NA12877_NA12886,OPTICS,Yes,105,2424,2529,0.04151838671411625,0.2761502265930176,0.0,93
NA12877_NA12886,INTERVAL_TREE,No,2529,0,2529,1.0,0.2731504440307617,0.72265625,1256
NA12877_NA12886,INTERVAL_TREE,Yes,2529,0,2529,1.0,0.4022216796875,0.0,1488
NA12877_NA12886,OVERLAP,No,2529,0,2529,1.0,2.654412269592285,0.0,1286
NA12877_NA12886,OVERLAP,Yes,2529,0,2529,1.0,2.739346742630005,0.0,1505
NA12878_NA12879,DBSCAN,No,628,1913,2541,0.24714679260133807,0.016402006149291992,0.0,282
NA12878_NA12879,DBSCAN,Yes,628,1913,2541,0.24714679260133807,0.05181622505187988,0.0,536
NA12878_NA12879,OPTICS,No,105,2436,2541,0.04132231404958678,0.26398301124572754,0.0,45
NA12878_NA12879,OPTICS,Yes,105,2436,2541,0.04132231404958678,0.2663552761077881,0.0,87
NA12878_NA12879,INTERVAL_TREE,No,2541,0,2541,1.0,0.25100255012512207,1.10546875,1252
NA12878_NA12879,INTERVAL_TREE,Yes,2541,0,2541,1.0,0.35741448402404785,0.0,1476
NA12878_NA12879,OVERLAP,No,2541,0,2541,1.0,2.660926103591919,0.0,1281
NA12878_NA12879,OVERLAP,Yes,2541,0,2541,1.0,2.770277500152588,0.0,1496
NA12878_NA12881,DBSCAN,No,616,1897,2513,0.24512534818941503,0.015740394592285156,0.0,274
NA12878_NA12881,DBSCAN,Yes,616,1897,2513,0.24512534818941503,0.051160573959350586,0.0,533
NA12878_NA12881,OPTICS,No,110,2403,2513,0.043772383605252686,0.25676488876342773,0.0,46
NA12878_NA12881,OPTICS,Yes,110,2403,2513,0.043772383605252686,0.2601902484893799,0.0,95
NA12878_NA12881,INTERVAL_TREE,No,2513,0,2513,1.0,0.2494359016418457,0.0,1248
NA12878_NA12881,INTERVAL_TREE,Yes,2513,0,2513,1.0,0.35253143310546875,0.0,1463
NA12878_NA12881,OVERLAP,No,2513,0,2513,1.0,2.602757215499878,0.0,1276
NA12878_NA12881,OVERLAP,Yes,2513,0,2513,1.0,2.710012197494507,0.0234375,1481
NA12878_NA12882,DBSCAN,No,646,1905,2551,0.253234025872207,0.016264677047729492,0.0,289
NA12878_NA12882,DBSCAN,Yes,646,1905,2551,0.253234025872207,0.05062246322631836,0.0,550
NA12878_NA12882,OPTICS,No,118,2433,2551,0.04625637005096041,0.26278066635131836,0.0,51
NA12878_NA12882,OPTICS,Yes,118,2433,2551,0.04625637005096041,0.26545071601867676,0.0,98
NA12878_NA12882,INTERVAL_TREE,No,2551,0,2551,1.0,0.2524831295013428,-0.25,1252
NA12878_NA12882,INTERVAL_TREE,Yes,2551,0,2551,1.0,0.35306501388549805,0.0,1477
NA12878_NA12882,OVERLAP,No,2551,0,2551,1.0,2.664780378341675,0.0,1280
NA12878_NA12882,OVERLAP,Yes,2551,0,2551,1.0,2.759584426879883,0.5,1494
NA12878_NA12885,DBSCAN,No,616,1893,2509,0.24551614188919887,0.016079187393188477,0.0,276
NA12878_NA12885,DBSCAN,Yes,616,1893,2509,0.24551614188919887,0.04967164993286133,0.0,529
NA12878_NA12885,OPTICS,No,97,2412,2509,0.038660821044240734,0.25061607360839844,0.0,43
NA12878_NA12885,OPTICS,Yes,97,2412,2509,0.038660821044240734,0.256150484085083,0.0,81
NA12878_NA12885,INTERVAL_TREE,No,2509,0,2509,1.0,0.2589840888977051,0.125,1252
NA12878_NA12885,INTERVAL_TREE,Yes,2509,0,2509,1.0,0.3345925807952881,0.0,1471
NA12878_NA12885,OVERLAP,No,2509,0,2509,1.0,2.5731611251831055,0.0,1281
NA12878_NA12885,OVERLAP,Yes,2509,0,2509,1.0,2.6604602336883545,0.0,1492
NA12878_NA12886,DBSCAN,No,642,1883,2525,0.25425742574257426,0.016788005828857422,0.0,288
NA12878_NA12886,DBSCAN,Yes,642,1883,2525,0.25425742574257426,0.04986286163330078,0.0,555
NA12878_NA12886,OPTICS,No,113,2412,2525,0.04475247524752475,0.2563047409057617,0.0,50
NA12878_NA12886,OPTICS,Yes,113,2412,2525,0.04475247524752475,0.26064586639404297,0.0,95
NA12878_NA12886,INTERVAL_TREE,No,2525,0,2525,1.0,0.24725699424743652,0.0,1249
NA12878_NA12886,INTERVAL_TREE,Yes,2525,0,2525,1.0,0.331650972366333,0.0,1468
NA12878_NA12886,OVERLAP,No,2525,0,2525,1.0,2.6098551750183105,0.0,1280
NA12878_NA12886,OVERLAP,Yes,2525,0,2525,1.0,2.700071334838867,0.0,1487
NA12879_NA12881,DBSCAN,No,630,1918,2548,0.24725274725274726,0.016316890716552734,0.0,282
